AÑO,EVAPORACION LA BARCA ,EVAPORACION JAMAY,EVAPORACION OCOTLAN,EVAPORACION BRISEÑAS,LLUVIA LA BARCA,LLUVIA JAMAY,LLUVIA OCOTLAN,LLUVIA BRISEÑAS ,TMaxE LA BARCA,TMaxE JAMAY,TMaxE OCOTLAN,TMaxE BRISEÑAS,TMaxP LA BARCA ,TMaxP JAMAY,TMaxP OCOTLAN,TMaxP BRISEÑAS,TMedP LA BARCA,TMedP JAMAY,TMedP OCOTLAN,TMedP BRISEÑAS,TMinE LA BARCA,TMinE JAMAY,TMinE OCOTLAN,TMinE BRISEÑAS,TMinP LA BARCA,TMinP JAMAY,TMinP OCOTLAN,TMinP BRISEÑAS,Sembrada LA BARCA,Sembrada JAMAY,Sembrada OCOTLAN,Sembrada BRISEÑAS,Cosechada LA BARCA,Cosechada JAMAY,Cosechada OCOTLAN ,Cosechada BRISEÑAS
2003,131.901,148.124,156.1217083,164.1388928,83.73333333,51.39458333,61.32166667,61.33675124,32.54166667,31.30208333,30.75,30.33782615,30.1,28.08333333,28.83208333,27.45441478,20.73333333,19.49166667,20.20708333,19.65061365,8.083333333,7.522916667,8.25,8.239115596,11.325,10.86083333,11.67666667,11.63440625,27146,7833.8,12614,2476.744,25934,6899,11928,2404.082
2004,135.1345,151.4394412,136.1292917,162.3366616,89.88833333,83.12478241,89.691,60.63927292,31.90833333,30.30150463,29.83333333,30.50184412,28.86833333,27.34537037,27.79916667,27.90704868,20.075,19.08634259,19.875,19.68927601,8.416666667,7.592361111,9.25,8.318518915,11.30833333,10.88335648,11.975,11.43770541,28823,9733,11442,2682,27675,7187,10584,2636.5
2005,151.41125,156.9551667,157.9095417,173.2030123,63,43.63333333,54.152875,48.61678241,33.54166667,31.20833333,30.58333333,29.81886574,30.15,27.975,28.80833333,26.65858796,20.46666667,19.11208333,20.4,19.22701149,7.5,7.125,9,8.394097223,10.8,10.46083333,11.99208333,11.76009259,29046,9228,8767,1835,28784,8228,8382,1835
2006,155.83,155.155,142.8958333,167.5691667,67.4585,66.85833333,53.79291667,47.6085,34.22083333,31.375,29.75,30.54166667,30.51666667,27.875,28.12583333,26.92666667,20.83333333,19.25833333,20.25,19.29833333,7.916666667,7.329166667,9.991666667,8.270833333,11.16666667,10.625,12.38666667,11.64166667,27002,10198,11320,1408.22,27002,10198,11320,1226.91
2007,143.7825,147.2419412,164.9980833,166.3316442,63.92,61.89199074,75.49166667,60.7673872,32.875,30.70150463,30.58333333,30.22346211,30.1,27.29537037,28.54166667,27.18998495,20.35833333,18.91134259,20.46666667,19.52561365,7.708333333,7.615277778,9.333333333,8.447119982,10.60833333,10.55543982,12.39166667,11.67710362,26225,12850,12180,2820,26174,11515,11970,2820
2008,155.4841667,157.9091667,159.4142917,191.5979167,75.41666667,82.10058333,92.70733333,72.38333333,33.52916667,30.79166667,30.25,29.15833333,30.14166667,27.44166667,28.20833333,26.315,20.4,18.73333333,20.11666667,18.91583333,7.583333333,6.5,9.416666667,8.291666667,10.64166667,9.999583333,12.04125,11.40833333,22650,11619,12350,1465,22350,10319,12200,1465
2009,139.0025,156.2266667,167.6861667,169.3533333,65.675,48.34333333,63.1175,49.65,33.83333333,31.16666667,30.83333333,29.91666667,30.775,28.30833333,28.63166667,26.985,21.13958333,19.44166667,21.33166667,19.58333333,8.7625,7.666666667,11.57083333,9.166666667,11.53333333,10.55833333,13.9975,12.21666667,19700,10330,8350,2335,19700,10330,8350,2335
2010,136.2343333,148.0075833,125.2415417,168.1416667,66.88916667,64.45208333,81.89704167,64.05791667,33,30.25,30.41666667,29.53541667,29.94166667,27.4875,27.585,26.61416667,20.35833333,18.58,20.84916667,19.08208333,7.208333333,6.0875,10.79166667,7.422916667,10.73583333,9.85,14.04083333,11.68,22745,12920,9895,1950,22745,12920,9895,1717.4
2011,157.5491667,143.93,138.1547917,169.75825,55.05,45.94979167,57.0275,38.89291667,33.58333333,31.75,30.41666667,30.83958333,30.86083333,28.9,27.98333333,27.91666667,21.35833333,19.475,19.88208333,19.77083333,8.041666667,6.44375,9.004166667,7.775,11.84166667,10.03333333,11.80541667,11.65,23745,13524,10790,2015,23745,13524,10790,2015
2012,141.3391667,148.3527557,118.4708333,152.706375,61.69833333,60.95729129,63.92666667,44.85958333,33.22083333,31.10348956,30.75416667,29.875,30.65,27.85347316,27.77708333,26.8725,21.10833333,19.08196225,19.82166667,19.14833333,9.166666667,7.139226271,9.270833333,8.666666667,11.55833333,10.40084467,11.85583333,11.42,24837,13940,11055,2010,24837,13940,11055,2010
2013,141.9483333,149.8872065,125.6133333,162.3366616,84.135,70.8098898,88.18983333,60.63927292,32.95833333,31.37479831,30.33333333,30.50184412,30.175,27.87826911,27.71416667,27.90704868,20.85833333,19.2347549,19.81208333,19.68927601,8.416666667,7.006722067,8.1875,8.318518915,11.525,10.61448983,12.09875,11.43770541,19241,4138,7140,2129,19241,4138,7140,2129
2014,153.6566667,152.0209576,131.5683333,151.66425,77.41666667,57.28059131,76.5,52.06666667,32.58333333,30.7592564,29.83333333,30,30.05833333,27.84051161,27.34958333,27.83333333,20.7,19.17421779,19.70916667,20.64625,8.666666667,6.811394385,9,9.772916667,11.325,10.52527489,12.125,13.48333333,18010,4000,6960,2183.44,18010,4000,6960,2183.44
2015,131.6025,133.6654583,136.8383333,147.2533333,109.50075,71.83208333,80.565625,74.21791667,32.66666667,31.34583333,29.42916667,30.70833333,30.56,27.975,26.60125,28.11666667,20.75416667,19.59166667,19.27416667,21.03458333,8.6875,7.791666667,9.175,9.602083333,11.00791667,11.16666667,11.99875,13.81958333,19125.6,4150,4680,2231,19125.6,4150,4680,2231
2016,137.4683333,144.3025,154.507625,149.8219167,87.13216667,68.65916667,59.45833333,52.92291667,32.87916667,32.44166667,30.66666667,29.54166667,30.14458333,29.18458333,28.225,28.025,20.045,19.75625,20.14166667,20.71333333,7.225,6.108333333,9.416666667,9.4375,10.17208333,9.9,11.925,13.26708333,17625,4933,6477,2490,17625,4933,6477,2490
2017,135.4275,157.5591667,143.4758333,162.5941667,66.34458333,63.885,75.07358333,64.54666667,32.30416667,32.71666667,31.41666667,29.375,30.4925,29.36541667,28.95,27.63333333,20.675,19.50833333,20.86625,19.72958333,8.666666667,5.833333333,9.75,9.083333333,10.89208333,9.362916667,12.7575,11.86041667,18250,4175,6580,1200,18250,4175,6580,1200
2018,133.4566667,150.7933333,116.8729167,163.0666667,99.43208333,71.1575,100.47175,78.76916667,33.33333333,30.08333333,30.91666667,29.61458333,30.25416667,26.57833333,28.63333333,27.21666667,20.555,18.46041667,21.06666667,19.80083333,8.1125,7.375,11.08333333,8.88125,10.675,10.31666667,13.575,12.24833333,18200,3827,6585,1240,18200,3827,6585,1240
2019,131.1266667,156.956625,130.0969167,168.7233333,62.57916667,59.78808333,78.001625,49.84083333,33,30.25,31.25,30.70625,31.19916667,27.225,28.82458333,28.65833333,21.28333333,18.975,21.25708333,19.5925,8.575,7.833333333,11,8.604166667,11.27125,10.7,13.7075,10.56833333,19438,4419.33,5912.33,1310,19438,4419.33,5912.33,1310
2020,133.1283333,150.2813623,120.542,162.4383333,52.20833333,61.4706701,55.10833333,38.82,32.33333333,31.04943706,31.08333333,30.75625,30.31666667,27.94692102,28.69625,28.81875,20.905,19.20063493,21.02916667,19.47625,9.166666667,7.132034474,10.65416667,8.041666667,11.64333333,10.45329027,13.45625,10.1675,18320.75,5600.33,6393.53,1250,18320.75,5600.33,6393.53,1250
2021,135.5975,158.3347065,107.3770417,139.9595774,89.07941667,82.1992648,78.027875,82.65,31.83333333,30.16646498,29.75,30.95833333,28.96666667,27.25326911,27.45,28.65958333,20.15833333,18.72933824,19.38333333,19.74,8.583333333,6.792138733,9.25,8.541666667,11.34166667,10.19782316,11.275,10.79166667,18196,5683,6425.8,1362.23,18196,5233,6422.8,1362.23
2022,142.62913,150.2813623,113.9741667,152.054375,67.00287731,61.4706701,62.79166667,63.78,32.51979164,31.04943706,29.59166667,31,29.69548205,27.94692102,27.5925,29.13666667,20.48360674,19.20063493,19.61708333,19.30375,8.351431993,7.132034474,9.75,6.972916667,11.31124035,10.45329027,11.63708333,9.383333333,17936,3973,6535,1300,17936,3973,6225,1300
2023,139.6572462,162.7258981,117.5946552,168.3973039,71.41685855,55.79944036,45.47109526,57.95166667,33.00663772,31.64017565,30.64875898,32.55208333,30.31244444,28.19585512,28.41033115,29.93416667,20.72638591,19.55306781,20.2421514,20.58291667,8.350681729,7.119662309,9.106622589,7.916666667,11.18425151,10.98886983,11.79478459,10.49166667,11161,3972,4448,1305,7548,3496,3915,849
2024,110.4925162,137.1799417,137.6868271,175.225,43.12603604,27.26584559,35.12135853,71.97916667,34.2062963,30.84963235,30.58139535,32.43125,31.65617725,28.59330882,28.9492345,29.95291667,21.68041799,19.5922549,21.05346899,20,9.784093915,7.999754902,11.55271318,7.116666667,12.26630886,10.60362745,13.09118217,9.488333333,11214,4006,4476,1225,11214,4006,4476,1148